stop_id,stop_name,buses_day,buses_am_peak,buses_pm_peak,routes_served,metro_dist_m,near_metro,mall_frontage,is_surveyed,affected
506001,Khadri Masjid 1,224,37,36,5,1130.0,False,False,False,False
425002,Schools Health Center 2,200,37,32,5,630.0,False,True,False,False
547101,Lake Central Tower 1,151,37,36,3,518.0,False,False,False,False
509101,South Ridge Tower 1,162,36,34,3,713.0,False,False,False,False
137001,Al Nakhal 1-1,214,36,32,5,644.0,False,False,False,False
433001,Karama 1-1,197,36,32,5,534.0,False,False,False,False
185101,"Al Nahda, Park 2",193,36,32,4,2078.0,False,False,False,False
435001,Karama 2-1,197,36,31,5,243.0,False,False,False,False
545102,Empire Heights Towers 2,142,36,31,3,449.0,False,False,False,False
513001,Durrah Tower,181,36,30,4,262.0,False,False,False,False
690001,Knowledge Village,261,36,36,3,262.0,False,False,False,False
722002,"Jumeirah Beach Residence 1, Landside",261,36,36,3,173.0,True,False,False,False
723002,"Jumeirah Beach Residence 2, Landside",261,36,36,3,103.0,True,False,False,False
258502,Media City Tram Bus Station 2,242,36,36,2,0.0,True,False,False,False
689002,Royal Mirage Hotel 2-2,261,36,36,3,212.0,False,False,False,False
691001,"Villas Complex, Tecom",261,36,36,3,39.0,True,False,False,False
198501,,242,36,36,2,110.0,True,False,False,False
315501,"International City, Lake Entrance 1",172,36,33,3,8531.0,False,False,False,False
130102,,200,36,36,1,301.0,False,False,False,False
587301,,242,36,36,1,498.0,False,False,False,False
103101,"Sharjah, Al Wahda Rd, Subway 1-1",248,36,47,5,2999.0,False,False,False,False
216501,Avanti Tower,137,35,32,2,654.0,False,False,False,False
102101,"Sharjah, Al Wahda Road, City Center 1",248,35,48,5,3312.0,False,True,False,False
446001,Wafi City 1,168,35,34,6,628.0,False,False,False,False
468001,Latifa Hospital,190,35,35,4,1086.0,False,False,False,False
515001,Rostamani Tower,180,35,31,4,379.0,False,False,False,False
425001,Schools Health Center 1,197,35,33,5,621.0,False,True,False,False
104101,"Sharjah, Al Wahda Rd, Al Wahda Center 2-1",248,35,47,5,3189.0,False,True,False,False
107101,"Sharjah, King Faisal Road, Jumbo-Sony 1",248,35,46,5,3378.0,False,False,False,False
215501,Capital Golden Tower,137,35,33,2,630.0,False,False,False,False
142002,Abu Baker Al Siddique Road 2,219,35,36,5,743.0,False,False,False,False
237001,Dubai Municipality Garage 1,180,35,35,3,510.0,False,False,False,False
611102,Business Bay 2 Bus Station 2,137,35,34,2,378.0,False,False,True,True
422501,"Sharjah, King Faisal Road, Adnoc Petrol Station 1",248,35,47,5,3158.0,False,False,False,False
121501,Dubai Textile City,157,35,33,2,7942.0,False,False,False,False
954001,"Ras Al Khor, Mega Star Trdg.",170,35,34,3,3484.0,False,False,False,False
391002,Department of Ports & Customs 2,241,34,34,6,1341.0,False,False,False,False
648501,"Muhaisnah 4, Lootah Building 1",202,34,35,3,2715.0,False,False,False,False
254102,Silicon Oasis SIT Tower 2,164,34,30,3,10878.0,False,False,False,False
973001,Amssar Wood Manufacturing 1,220,34,37,6,2136.0,False,False,False,False
494101,Clayton Residency 1,154,34,36,3,661.0,False,False,False,False
657001,Classic Crystal 1,189,34,33,4,1666.0,False,False,False,False
953001,"Ras Al Khor, Tawoon Trans.",173,34,33,3,3900.0,False,False,False,False
702101,Dubai Fountain Street 1,149,34,36,3,819.0,False,False,False,False
512001,White Crown Tower,181,34,29,4,425.0,False,False,False,False
330501,Dubai Outsource City 4-1,157,34,30,3,11871.0,False,False,False,False
662001,Gold & Diamond Park 1,190,34,29,3,450.0,False,False,False,False
782002,Al Khaleej Al Madina Supermarket 2,206,34,35,5,1069.0,False,True,False,False
237002,Dubai Municipality Garage 2,177,34,37,3,521.0,False,False,False,False
877001,Sheikh Rashid Colony 1-1,187,33,30,4,352.0,False,False,False,False
106101,"Sharjah, King Faisal Road, Old Gold Souq",248,33,47,5,3224.0,False,True,False,False
331601,University of Birmingham Dubai 1,157,33,30,3,11206.0,False,False,False,False
255101,Manipal University 1,157,33,30,3,11325.0,False,False,False,False
331502,Bits Pilani 2,157,33,30,3,11327.0,False,False,False,False
343001,"Al Qusais Industrial Area, Terminus 1",191,33,34,2,3417.0,False,False,False,False
197501,"Al Nahda, Zuleikha Hospital 1",168,33,30,4,2679.0,False,False,False,False
615002,"Honda, Training Center 2",200,33,28,2,1025.0,False,True,False,False
266102,DE MONTFORT University Dubai Campus 2,157,33,30,3,11279.0,False,False,False,False
286101,"Muhaisnah 4, Jamal Building 1",202,33,35,3,2895.0,False,False,False,False
101502,"Al Quoz, AST Company 2",197,33,32,2,2059.0,False,False,False,False
210101,"Al Qusais, Civil Defence Intersection",186,33,29,4,308.0,False,False,False,False
342502,Silicon Oasis SP Oasis 2,164,33,31,3,11147.0,False,False,False,False
735502,Silicon Oasis Al Waha Masjid 2,164,33,32,3,11410.0,False,False,False,False
289001,Arabian Orchard Complex C-1,195,33,39,2,5238.0,False,False,False,False
326002,Technical School 2,186,33,29,4,1551.0,False,False,False,False
287001,Arabian Orchard Complex B-1,195,33,39,2,5064.0,False,False,False,False
291001,Arabian Orchard Complex D-1,195,33,38,2,5304.0,False,False,False,False
286001,Arabian Orchard Complex A-1,195,33,40,2,4922.0,False,False,False,False
322002,Damascus Road 2-2,178,33,31,4,1596.0,False,False,False,False
297002,"Al Qusais, Police Station 2",186,33,29,4,509.0,False,False,False,False
313002,"Al Qusais, Qutami Al Suweidi Masjid 2",186,33,29,4,838.0,False,False,False,False
803001,"Ras Al Khor, Veg. Mkt. 1",166,33,34,5,5413.0,False,False,False,False
213101,Reef Mall 1,195,33,29,5,224.0,False,True,False,False
213102,Reef Mall 2,201,33,33,4,290.0,False,True,False,False
456002,2nd December Street 2,212,33,36,5,1649.0,False,False,False,False
253102,Silicon Oasis North Park 2,164,33,30,3,10810.0,False,False,False,False
734001,"Ibn Battuta, Food Court 3",233,32,36,5,561.0,False,False,False,False
522601,Silicon Oasis Emirates Building 1,164,32,30,3,10436.0,False,False,False,False
622002,"Shirawi, Scania 2",170,32,32,4,625.0,False,False,False,False
624002,Oasis Village 2,197,32,31,2,2005.0,False,False,False,False
150101,Oxford School Gate 4 1,173,32,30,3,2558.0,False,False,False,False
961509,Rashidiya Bus Station Gate 9,149,32,33,2,51.0,True,False,False,False
149101,"Muhaisnah 4, Awqaf Housings 1",173,32,30,3,2925.0,False,False,False,False
285001,"Al Twar 1, Emarat Pertol Stn-Al Mawred 1",187,32,35,3,398.0,False,False,False,False
242102,Marine Center 2,170,32,32,4,1269.0,False,True,False,False
226102,"Muraqqabat, Police Station 2",201,32,32,4,499.0,False,False,False,False
324001,Damascus Road 4-1,184,32,33,4,2483.0,False,False,False,False
353502,"Al Nahda 1, Burj Al Nahda 2",160,32,27,3,1671.0,False,False,False,False
243102,Bosch Center 2,170,32,32,4,982.0,False,True,False,False
631002,Queen Palace Factory 2,195,31,27,2,791.0,False,False,False,False
167102,Galadari Printing & Publishing 2,195,31,27,2,817.0,False,False,False,False
331602,University of Birmingham Dubai 2,158,31,33,3,11206.0,False,False,False,False
101008,Stadium Bus Station 8,201,31,34,1,186.0,True,False,False,False
360001,"Al Nahda 1, Al Banai 1",161,31,25,3,1558.0,False,False,False,False
442001,Rashid Hospital,172,31,29,6,252.0,False,False,False,False
331701,University of Dubai,155,31,32,1,12487.0,False,False,False,False
456001,2nd December Street  1,214,31,35,5,1520.0,False,False,False,False
327002,"Muhaisnah 4, FEWA-2",186,31,28,4,3032.0,False,False,False,False
248502,"Al Nahda 1, Masjid Rada 2",160,31,27,3,1678.0,False,False,False,False
215124,Etisalat Bus Station 24,207,31,35,1,194.0,True,False,False,False
149001,"International City, Dragon Mart 2",204,31,35,3,7050.0,False,False,False,False
507002,"Satwa, Road 2",181,31,29,4,1161.0,False,False,False,False
255102,Manipal University 2,158,31,33,3,11319.0,False,False,False,False
573001,Oasis Center 1,170,31,33,4,2015.0,False,True,False,False
248501,"Al Nahda 1, Masjid Rada 1",161,31,26,3,1669.0,False,False,False,False
136501,"Al Quoz, Al Futtaim Motors",170,31,34,4,1717.0,False,False,False,False
143502,Silicon Oasis Masjid 2,127,31,22,2,10739.0,False,False,False,False
353501,"Al Nahda 1, Burj Al Nahda 1",161,30,26,3,1692.0,False,False,False,False
391001,Department of Ports & Customs 1,198,30,27,5,1578.0,False,False,False,False
331501,Bits Pilani 1,158,30,33,3,11324.0,False,False,False,False
400501,Algeria Street 5-1,198,30,34,4,2963.0,False,False,False,False
360002,"Al Nahda 1, Al Banai 2",160,30,27,3,1539.0,False,False,False,False
243001,"Rashidiya, Civil Defence 1",137,30,29,4,1587.0,False,False,False,False
266101,DE MONTFORT University Dubai Campus 1,158,30,32,3,11281.0,False,False,False,False
507001,"Satwa, Road 1",176,30,26,4,1185.0,False,False,False,False
508001,Bilal Bin Ribah School,176,30,26,4,1161.0,False,False,False,False
961504,Rashidiya Bus Station Gate 4,145,30,28,3,95.0,True,False,False,False
655001,Al Warsan 3 Dubai Nursery 1,148,30,26,3,10933.0,False,False,False,False
325001,Al Qusais Industrial Area 1,172,30,28,4,2872.0,False,False,False,False
545101,Empire Heights Towers 1,130,30,28,3,456.0,False,False,False,False
157502,Beirut Road 2-2,163,30,30,4,548.0,False,False,False,False
109001,Murar Jadeed 1,166,30,29,4,933.0,False,False,False,False
158101,Al Furjan Metro Bus Stop 1,158,29,28,2,29.0,True,False,False,False
361001,"Al Nahda 1, Fatma Mohammad Masjid 1",133,29,42,2,2055.0,False,False,False,False
878001,Emirates Driving Institute 1,155,29,26,4,628.0,False,False,False,False
305501,"Al Nahda 1, Zaafranah 1",161,29,25,3,1998.0,False,False,False,False
655002,Al Warsan 3 Dubai Nursery 2,147,29,24,3,11174.0,False,False,False,False
618002,Speedwell Decor 2,171,29,31,4,1841.0,False,False,False,False
518101,Discovery Garden Metro Bus Stop 1,158,29,28,2,25.0,True,False,False,False
640501,"Dubai Festival City, IKEA1",141,29,27,3,940.0,False,False,False,False
983001,Dubai Investment Park 1,174,29,29,3,2197.0,False,False,False,False
125502,Kuwait Road 2,134,29,24,2,850.0,False,False,False,False
414002,"Mankhool, Center Point 2",134,29,24,2,442.0,False,True,False,False
550101,RBC Tower 2,98,29,22,2,363.0,False,False,False,False
220102,"Deira, Fish Roundabout 2",158,29,26,4,219.0,False,False,False,False
509002,Rehabilitation Center 2,181,29,28,4,1310.0,False,True,False,False
509001,Rehabilitation Center 1,176,29,25,4,1345.0,False,True,False,False
205002,"Hamriya, Port 2",165,28,29,4,1282.0,False,False,False,False
297001,"Al Twar 4, Al Qusais Police Station 1",188,28,29,4,391.0,False,False,False,False
469002,Dubai Birds and Pets Market 2,147,28,25,3,11655.0,False,True,False,False
152001,Al Bakhit Center 1,174,28,26,5,471.0,False,True,False,False
546102,Fairview Residency 2,98,28,23,2,804.0,False,False,False,False
549102,Mayfair Residency 2,98,28,23,2,548.0,False,False,False,False
240001,"Rashidiya, Village",138,28,28,4,1403.0,False,False,False,False
366002,"Mirdiff, Private School 2",177,28,31,5,3399.0,False,False,False,False
408002,"Mankhool, Standard Chartered Bank 2",153,28,28,3,922.0,False,False,False,False
292001,"Al Twar, Union Cooperative Society",168,28,28,4,206.0,False,False,False,False
969501,"Al Barsha Heights, Mashael Building 1",154,28,27,3,721.0,False,False,False,False
783002,Nuzul labour Accommodation 2,171,28,29,4,1007.0,False,False,False,False
409001,Sheikh Rashid Road Intersection 1,171,28,27,3,1214.0,False,False,False,False
345502,Vegetable Market 2,151,28,28,3,6087.0,False,True,False,False
141501,"Abu Dhabi, Central Bus Station 1",201,28,33,2,91552.0,False,False,False,False
363501,MAN Motors 1,159,28,27,3,3129.0,False,False,False,False
503502,"The Green Community, East Gate Entrance 2",153,27,28,2,671.0,False,False,False,False
551101,The Binary Tower 1,118,27,26,2,715.0,False,False,False,False
859001,"Al Quoz, Dubai Center Driving School 1",144,27,23,3,634.0,False,True,False,False
408001,"Mankhool, Standard Chartered Bank 1",153,27,27,3,746.0,False,False,False,False
495101,Clover Bay Tower 1,118,27,26,2,676.0,False,False,False,False
101101,"Sharjah, Ithihad Road - Al Safeer Mall 1",180,27,33,3,2981.0,False,True,False,False
600101,"Sports City, ICC Headquarter 1",152,27,27,4,6529.0,False,False,False,False
294002,Al Khulafaa Al Rashideen Boys School 2,147,27,25,4,373.0,False,False,False,False
502502,"The Green Community, West Gate Entrance 2",153,27,29,2,452.0,False,False,False,False
730502,The Gardens Metro Bus Stop 2,152,27,28,2,66.0,True,False,False,False
369001,"Muhaisnah 2, 7th Street-1",180,27,27,2,1627.0,False,False,False,False
653102,"Dubai Production City, Centrium Tower 2",163,27,31,3,3777.0,False,False,False,False
903001,Nadd Al Hamar Park 1,132,27,28,4,3228.0,False,False,False,False
151001,"Muraqqabat, Police Station 1",163,27,24,4,465.0,False,False,False,False
537002,"Wasl Road, Box Park 2-2",152,26,28,4,1280.0,False,False,False,False
